VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD0.w, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD1.z, TEXCOORD1.w, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z, TEXCOORD2.w, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z, TEXCOORD3.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
10, 3,  0.0408,  0.2052,  0.50488,  1.00, -0.07874, -0.37795, -0.92126,  0.00,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608
11, 5,  0.08008,  0.19324,  0.50488,  1.00, -0.14961, -0.3622, -0.92126,  0.00,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608
12, 2,  0.02081,  0.10461,  0.53613,  1.00, -0.03937, -0.19685, -0.97638,  0.00,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039
13, 5,  0.08008,  0.19324,  0.50488,  1.00, -0.14961, -0.3622, -0.92126,  0.00,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608
14, 6,  0.0408,  0.09851,  0.53613,  1.00, -0.07874, -0.18898, -0.97638,  0.00,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039
15, 7,  0.00,  0.00,  0.54688,  1.00,  0.00,  0.00, -1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
16, 2,  0.02081,  0.10461,  0.53613,  1.00, -0.03937, -0.19685, -0.97638,  0.00,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039
17, 6,  0.0408,  0.09851,  0.53613,  1.00, -0.07874, -0.18898, -0.97638,  0.00,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039
18, 6,  0.0408,  0.09851,  0.53613,  1.00, -0.07874, -0.18898, -0.97638,  0.00,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039
19, 5,  0.08008,  0.19324,  0.50488,  1.00, -0.14961, -0.3622, -0.92126,  0.00,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608
20, 8,  0.11621,  0.17395,  0.50488,  1.00, -0.2126, -0.32283, -0.92126,  0.00,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216
21, 6,  0.0408,  0.09851,  0.53613,  1.00, -0.07874, -0.18898, -0.97638,  0.00,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039
22, 8,  0.11621,  0.17395,  0.50488,  1.00, -0.2126, -0.32283, -0.92126,  0.00,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216
23, 9,  0.05927,  0.08868,  0.53613,  1.00, -0.11024, -0.16535, -0.97638,  0.00,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647
24, 10,  0.00,  0.00,  0.54688,  1.00,  0.00,  0.00, -1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
25, 6,  0.0408,  0.09851,  0.53613,  1.00, -0.07874, -0.18898, -0.97638,  0.00,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039
26, 9,  0.05927,  0.08868,  0.53613,  1.00, -0.11024, -0.16535, -0.97638,  0.00,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647
27, 9,  0.05927,  0.08868,  0.53613,  1.00, -0.11024, -0.16535, -0.97638,  0.00,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647
28, 8,  0.11621,  0.17395,  0.50488,  1.00, -0.2126, -0.32283, -0.92126,  0.00,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216
29, 11,  0.14795,  0.14795,  0.50488,  1.00, -0.27559, -0.27559, -0.92126,  0.00,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824
30, 9,  0.05927,  0.08868,  0.53613,  1.00, -0.11024, -0.16535, -0.97638,  0.00,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647
31, 11,  0.14795,  0.14795,  0.50488,  1.00, -0.27559, -0.27559, -0.92126,  0.00,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824
32, 12,  0.07544,  0.07544,  0.53613,  1.00, -0.14173, -0.14173, -0.97638,  0.00,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255
33, 13,  0.00,  0.00,  0.54688,  1.00,  0.00,  0.00, -1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
34, 9,  0.05927,  0.08868,  0.53613,  1.00, -0.11024, -0.16535, -0.97638,  0.00,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647
35, 12,  0.07544,  0.07544,  0.53613,  1.00, -0.14173, -0.14173, -0.97638,  0.00,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255
36, 12,  0.07544,  0.07544,  0.53613,  1.00, -0.14173, -0.14173, -0.97638,  0.00,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255
37, 11,  0.14795,  0.14795,  0.50488,  1.00, -0.27559, -0.27559, -0.92126,  0.00,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824,  0.73725,  0.18824
38, 14,  0.17395,  0.11621,  0.50488,  1.00, -0.32283, -0.2126, -0.92126,  0.00,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431
39, 12,  0.07544,  0.07544,  0.53613,  1.00, -0.14173, -0.14173, -0.97638,  0.00,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255
40, 14,  0.17395,  0.11621,  0.50488,  1.00, -0.32283, -0.2126, -0.92126,  0.00,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431
41, 15,  0.08868,  0.05927,  0.53613,  1.00, -0.16535, -0.11024, -0.97638,  0.00,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863
42, 16,  0.00,  0.00,  0.54688,  1.00,  0.00,  0.00, -1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
43, 12,  0.07544,  0.07544,  0.53613,  1.00, -0.14173, -0.14173, -0.97638,  0.00,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255,  0.83137,  0.17255
44, 15,  0.08868,  0.05927,  0.53613,  1.00, -0.16535, -0.11024, -0.97638,  0.00,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863
45, 15,  0.08868,  0.05927,  0.53613,  1.00, -0.16535, -0.11024, -0.97638,  0.00,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863
46, 14,  0.17395,  0.11621,  0.50488,  1.00, -0.32283, -0.2126, -0.92126,  0.00,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431,  0.56863,  0.19216,  0.43922,  0.18431
47, 17,  0.19324,  0.08008,  0.50488,  1.00, -0.3622, -0.14961, -0.92126,  0.00,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647
48, 15,  0.08868,  0.05927,  0.53613,  1.00, -0.16535, -0.11024, -0.97638,  0.00,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863
49, 17,  0.19324,  0.08008,  0.50488,  1.00, -0.3622, -0.14961, -0.92126,  0.00,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647
50, 18,  0.09851,  0.0408,  0.53613,  1.00, -0.18898, -0.07874, -0.97638,  0.00,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078
51, 19,  0.00,  0.00,  0.54688,  1.00,  0.00,  0.00, -1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
52, 15,  0.08868,  0.05927,  0.53613,  1.00, -0.16535, -0.11024, -0.97638,  0.00,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863,  0.67843,  0.17647,  0.58824,  0.16863
53, 18,  0.09851,  0.0408,  0.53613,  1.00, -0.18898, -0.07874, -0.97638,  0.00,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078
54, 18,  0.09851,  0.0408,  0.53613,  1.00, -0.18898, -0.07874, -0.97638,  0.00,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078
55, 17,  0.19324,  0.08008,  0.50488,  1.00, -0.3622, -0.14961, -0.92126,  0.00,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647,  0.18431,  0.19608,  0.12549,  0.17647
56, 20,  0.2052,  0.0408,  0.50488,  1.00, -0.37795, -0.07874, -0.92126,  0.00,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078
57, 18,  0.09851,  0.0408,  0.53613,  1.00, -0.18898, -0.07874, -0.97638,  0.00,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078
58, 20,  0.2052,  0.0408,  0.50488,  1.00, -0.37795, -0.07874, -0.92126,  0.00,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078
59, 21,  0.10461,  0.02081,  0.53613,  1.00, -0.19685, -0.03937, -0.97638,  0.00,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451
60, 22,  0.00,  0.00,  0.54688,  1.00,  0.00,  0.00, -1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
61, 18,  0.09851,  0.0408,  0.53613,  1.00, -0.18898, -0.07874, -0.97638,  0.00,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078,  0.30588,  0.18039,  0.22353,  0.16078
62, 21,  0.10461,  0.02081,  0.53613,  1.00, -0.19685, -0.03937, -0.97638,  0.00,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451
63, 21,  0.10461,  0.02081,  0.53613,  1.00, -0.19685, -0.03937, -0.97638,  0.00,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451
64, 20,  0.2052,  0.0408,  0.50488,  1.00, -0.37795, -0.07874, -0.92126,  0.00,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078
65, 23,  0.20923, -5.96046E-08,  0.50488,  1.00, -0.38583,  0.00, -0.92126,  0.00,  0.69804,  0.19608,  0.00392,  0.50196,  0.69804,  0.19608,  0.00392,  0.50196,  0.69804,  0.19608,  0.00392,  0.50196,  0.69804,  0.19608,  0.00392,  0.50196,  0.69804,  0.19608,  0.00392,  0.50196,  0.69804,  0.19608,  0.00392,  0.50196
66, 21,  0.10461,  0.02081,  0.53613,  1.00, -0.19685, -0.03937, -0.97638,  0.00,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451
67, 23,  0.20923, -5.96046E-08,  0.50488,  1.00, -0.38583,  0.00, -0.92126,  0.00,  0.69804,  0.19608,  0.00392,  0.50196,  0.69804,  0.19608,  0.00392,  0.50196,  0.69804,  0.19608,  0.00392,  0.50196,  0.69804,  0.19608,  0.00392,  0.50196,  0.69804,  0.19608,  0.00392,  0.50196,  0.69804,  0.19608,  0.00392,  0.50196
68, 24,  0.10663, -5.96046E-08,  0.53613,  1.00, -0.20472,  0.00, -0.97638,  0.00,  0.82745,  0.18039,  0.00392,  0.50196,  0.82745,  0.18039,  0.00392,  0.50196,  0.82745,  0.18039,  0.00392,  0.50196,  0.82745,  0.18039,  0.00392,  0.50196,  0.82745,  0.18039,  0.00392,  0.50196,  0.82745,  0.18039,  0.00392,  0.50196
69, 25,  0.00,  0.00,  0.54688,  1.00,  0.00,  0.00, -1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
