VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
31,11,0.14795,0.14795,0.50488,1,-0.27559,-0.27559,-0.92126,0,1,1,1,1,0.125,0.875,0.40112,0.60059,0.40112,0.60059,0.70866,-0.70866,0,1
32,12,0.07544,0.07544,0.53613,1,-0.14173,-0.14173,-0.97638,0,1,1,1,1,0.125,0.9375,0.4502,0.55127,0.4502,0.55127,0.70866,-0.70866,0,1
33,13,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.09375,1,0.50146,0.5,0.50146,0.5,0.77165,-0.6378,0,1
34,9,0.05927,0.08868,0.53613,1,-0.11024,-0.16535,-0.97638,0,1,1,1,1,0.09375,0.9375,0.46118,0.56006,0.46118,0.56006,0.83465,-0.55906,0,1
35,12,0.07544,0.07544,0.53613,1,-0.14173,-0.14173,-0.97638,0,1,1,1,1,0.125,0.9375,0.4502,0.55127,0.4502,0.55127,0.70866,-0.70866,0,1
36,12,0.07544,0.07544,0.53613,1,-0.14173,-0.14173,-0.97638,0,1,1,1,1,0.125,0.9375,0.4502,0.55127,0.4502,0.55127,0.70866,-0.70866,0,1
37,11,0.14795,0.14795,0.50488,1,-0.27559,-0.27559,-0.92126,0,1,1,1,1,0.125,0.875,0.40112,0.60059,0.40112,0.60059,0.70866,-0.70866,0,1
38,14,0.17395,0.11621,0.50488,1,-0.32283,-0.2126,-0.92126,0,1,1,1,1,0.15625,0.875,0.3833,0.57861,0.3833,0.57861,0.55906,-0.83465,0,1
39,12,0.07544,0.07544,0.53613,1,-0.14173,-0.14173,-0.97638,0,1,1,1,1,0.125,0.9375,0.4502,0.55127,0.4502,0.55127,0.70866,-0.70866,0,1
40,14,0.17395,0.11621,0.50488,1,-0.32283,-0.2126,-0.92126,0,1,1,1,1,0.15625,0.875,0.3833,0.57861,0.3833,0.57861,0.55906,-0.83465,0,1
41,15,0.08868,0.05927,0.53613,1,-0.16535,-0.11024,-0.97638,0,1,1,1,1,0.15625,0.9375,0.44116,0.54004,0.44116,0.54004,0.55906,-0.83465,0,1
42,16,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.125,1,0.50146,0.5,0.50146,0.5,0.6378,-0.77165,0,1
43,12,0.07544,0.07544,0.53613,1,-0.14173,-0.14173,-0.97638,0,1,1,1,1,0.125,0.9375,0.4502,0.55127,0.4502,0.55127,0.70866,-0.70866,0,1
44,15,0.08868,0.05927,0.53613,1,-0.16535,-0.11024,-0.97638,0,1,1,1,1,0.15625,0.9375,0.44116,0.54004,0.44116,0.54004,0.55906,-0.83465,0,1
45,15,0.08868,0.05927,0.53613,1,-0.16535,-0.11024,-0.97638,0,1,1,1,1,0.15625,0.9375,0.44116,0.54004,0.44116,0.54004,0.55906,-0.83465,0,1
46,14,0.17395,0.11621,0.50488,1,-0.32283,-0.2126,-0.92126,0,1,1,1,1,0.15625,0.875,0.3833,0.57861,0.3833,0.57861,0.55906,-0.83465,0,1
47,17,0.19324,0.08008,0.50488,1,-0.3622,-0.14961,-0.92126,0,1,1,1,1,0.1875,0.875,0.37036,0.5542,0.37036,0.5542,0.38583,-0.92126,0,1
48,15,0.08868,0.05927,0.53613,1,-0.16535,-0.11024,-0.97638,0,1,1,1,1,0.15625,0.9375,0.44116,0.54004,0.44116,0.54004,0.55906,-0.83465,0,1
49,17,0.19324,0.08008,0.50488,1,-0.3622,-0.14961,-0.92126,0,1,1,1,1,0.1875,0.875,0.37036,0.5542,0.37036,0.5542,0.38583,-0.92126,0,1
50,18,0.09851,0.0408,0.53613,1,-0.18898,-0.07874,-0.97638,0,1,1,1,1,0.1875,0.9375,0.43457,0.52783,0.43457,0.52783,0.38583,-0.92126,0,1
51,19,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.15625,1,0.50146,0.5,0.50146,0.5,0.47244,-0.88189,0,1
52,15,0.08868,0.05927,0.53613,1,-0.16535,-0.11024,-0.97638,0,1,1,1,1,0.15625,0.9375,0.44116,0.54004,0.44116,0.54004,0.55906,-0.83465,0,1
53,18,0.09851,0.0408,0.53613,1,-0.18898,-0.07874,-0.97638,0,1,1,1,1,0.1875,0.9375,0.43457,0.52783,0.43457,0.52783,0.38583,-0.92126,0,1
54,18,0.09851,0.0408,0.53613,1,-0.18898,-0.07874,-0.97638,0,1,1,1,1,0.1875,0.9375,0.43457,0.52783,0.43457,0.52783,0.38583,-0.92126,0,1
55,17,0.19324,0.08008,0.50488,1,-0.3622,-0.14961,-0.92126,0,1,1,1,1,0.1875,0.875,0.37036,0.5542,0.37036,0.5542,0.38583,-0.92126,0,1
56,20,0.2052,0.0408,0.50488,1,-0.37795,-0.07874,-0.92126,0,1,1,1,1,0.21875,0.875,0.3623,0.52783,0.3623,0.52783,0.19685,-0.98425,0,1
57,18,0.09851,0.0408,0.53613,1,-0.18898,-0.07874,-0.97638,0,1,1,1,1,0.1875,0.9375,0.43457,0.52783,0.43457,0.52783,0.38583,-0.92126,0,1
58,20,0.2052,0.0408,0.50488,1,-0.37795,-0.07874,-0.92126,0,1,1,1,1,0.21875,0.875,0.3623,0.52783,0.3623,0.52783,0.19685,-0.98425,0,1
59,21,0.10461,0.02081,0.53613,1,-0.19685,-0.03937,-0.97638,0,1,1,1,1,0.21875,0.9375,0.43042,0.51416,0.43042,0.51416,0.19685,-0.98425,0,1
60,22,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.1875,1,0.50146,0.5,0.50146,0.5,0.29134,-0.96063,0,1
61,18,0.09851,0.0408,0.53613,1,-0.18898,-0.07874,-0.97638,0,1,1,1,1,0.1875,0.9375,0.43457,0.52783,0.43457,0.52783,0.38583,-0.92126,0,1
62,21,0.10461,0.02081,0.53613,1,-0.19685,-0.03937,-0.97638,0,1,1,1,1,0.21875,0.9375,0.43042,0.51416,0.43042,0.51416,0.19685,-0.98425,0,1
63,21,0.10461,0.02081,0.53613,1,-0.19685,-0.03937,-0.97638,0,1,1,1,1,0.21875,0.9375,0.43042,0.51416,0.43042,0.51416,0.19685,-0.98425,0,1
64,20,0.2052,0.0408,0.50488,1,-0.37795,-0.07874,-0.92126,0,1,1,1,1,0.21875,0.875,0.3623,0.52783,0.3623,0.52783,0.19685,-0.98425,0,1
65,23,0.20923,-5.96E-08,0.50488,1,-0.38583,0,-0.92126,0,1,1,1,1,0.25,0.875,0.35938,0.5,0.35938,0.5,0,-1,0,1
66,21,0.10461,0.02081,0.53613,1,-0.19685,-0.03937,-0.97638,0,1,1,1,1,0.21875,0.9375,0.43042,0.51416,0.43042,0.51416,0.19685,-0.98425,0,1
67,23,0.20923,-5.96E-08,0.50488,1,-0.38583,0,-0.92126,0,1,1,1,1,0.25,0.875,0.35938,0.5,0.35938,0.5,0,-1,0,1
68,24,0.10663,-5.96E-08,0.53613,1,-0.20472,0,-0.97638,0,1,1,1,1,0.25,0.9375,0.42896,0.5,0.42896,0.5,0,-1,0,1
69,25,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.21875,1,0.50146,0.5,0.50146,0.5,0.09449,-0.99213,0,1
70,21,0.10461,0.02081,0.53613,1,-0.19685,-0.03937,-0.97638,0,1,1,1,1,0.21875,0.9375,0.43042,0.51416,0.43042,0.51416,0.19685,-0.98425,0,1
71,24,0.10663,-5.96E-08,0.53613,1,-0.20472,0,-0.97638,0,1,1,1,1,0.25,0.9375,0.42896,0.5,0.42896,0.5,0,-1,0,1
72,24,0.10663,-5.96E-08,0.53613,1,-0.20472,0,-0.97638,0,1,1,1,1,0.25,0.9375,0.42896,0.5,0.42896,0.5,0,-1,0,1
73,23,0.20923,-5.96E-08,0.50488,1,-0.38583,0,-0.92126,0,1,1,1,1,0.25,0.875,0.35938,0.5,0.35938,0.5,0,-1,0,1
74,26,0.2052,-0.0408,0.50488,1,-0.37795,0.07874,-0.92126,0,1,1,1,1,0.28125,0.875,0.3623,0.47241,0.3623,0.47241,-0.19685,-0.98425,0,1
75,24,0.10663,-5.96E-08,0.53613,1,-0.20472,0,-0.97638,0,1,1,1,1,0.25,0.9375,0.42896,0.5,0.42896,0.5,0,-1,0,1
76,26,0.2052,-0.0408,0.50488,1,-0.37795,0.07874,-0.92126,0,1,1,1,1,0.28125,0.875,0.3623,0.47241,0.3623,0.47241,-0.19685,-0.98425,0,1
77,27,0.10461,-0.02081,0.53613,1,-0.19685,0.03937,-0.97638,0,1,1,1,1,0.28125,0.9375,0.43042,0.48584,0.43042,0.48584,-0.19685,-0.98425,0,1
78,28,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.25,1,0.50146,0.5,0.50146,0.5,-0.09449,-0.99213,0,1
79,24,0.10663,-5.96E-08,0.53613,1,-0.20472,0,-0.97638,0,1,1,1,1,0.25,0.9375,0.42896,0.5,0.42896,0.5,0,-1,0,1
80,27,0.10461,-0.02081,0.53613,1,-0.19685,0.03937,-0.97638,0,1,1,1,1,0.28125,0.9375,0.43042,0.48584,0.43042,0.48584,-0.19685,-0.98425,0,1
81,27,0.10461,-0.02081,0.53613,1,-0.19685,0.03937,-0.97638,0,1,1,1,1,0.28125,0.9375,0.43042,0.48584,0.43042,0.48584,-0.19685,-0.98425,0,1
82,26,0.2052,-0.0408,0.50488,1,-0.37795,0.07874,-0.92126,0,1,1,1,1,0.28125,0.875,0.3623,0.47241,0.3623,0.47241,-0.19685,-0.98425,0,1
83,29,0.19324,-0.08008,0.50488,1,-0.3622,0.14961,-0.92126,0,1,1,1,1,0.3125,0.875,0.37036,0.4458,0.37036,0.4458,-0.38583,-0.92126,0,1
84,27,0.10461,-0.02081,0.53613,1,-0.19685,0.03937,-0.97638,0,1,1,1,1,0.28125,0.9375,0.43042,0.48584,0.43042,0.48584,-0.19685,-0.98425,0,1
85,29,0.19324,-0.08008,0.50488,1,-0.3622,0.14961,-0.92126,0,1,1,1,1,0.3125,0.875,0.37036,0.4458,0.37036,0.4458,-0.38583,-0.92126,0,1
86,30,0.09851,-0.0408,0.53613,1,-0.18898,0.07874,-0.97638,0,1,1,1,1,0.3125,0.9375,0.43457,0.47241,0.43457,0.47241,-0.38583,-0.92126,0,1
87,31,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.28125,1,0.50146,0.5,0.50146,0.5,-0.29134,-0.96063,0,1
88,27,0.10461,-0.02081,0.53613,1,-0.19685,0.03937,-0.97638,0,1,1,1,1,0.28125,0.9375,0.43042,0.48584,0.43042,0.48584,-0.19685,-0.98425,0,1
89,30,0.09851,-0.0408,0.53613,1,-0.18898,0.07874,-0.97638,0,1,1,1,1,0.3125,0.9375,0.43457,0.47241,0.43457,0.47241,-0.38583,-0.92126,0,1
90,30,0.09851,-0.0408,0.53613,1,-0.18898,0.07874,-0.97638,0,1,1,1,1,0.3125,0.9375,0.43457,0.47241,0.43457,0.47241,-0.38583,-0.92126,0,1
91,29,0.19324,-0.08008,0.50488,1,-0.3622,0.14961,-0.92126,0,1,1,1,1,0.3125,0.875,0.37036,0.4458,0.37036,0.4458,-0.38583,-0.92126,0,1
92,32,0.17395,-0.11621,0.50488,1,-0.32283,0.2126,-0.92126,0,1,1,1,1,0.34375,0.875,0.3833,0.42114,0.3833,0.42114,-0.55906,-0.83465,0,1
93,30,0.09851,-0.0408,0.53613,1,-0.18898,0.07874,-0.97638,0,1,1,1,1,0.3125,0.9375,0.43457,0.47241,0.43457,0.47241,-0.38583,-0.92126,0,1
94,32,0.17395,-0.11621,0.50488,1,-0.32283,0.2126,-0.92126,0,1,1,1,1,0.34375,0.875,0.3833,0.42114,0.3833,0.42114,-0.55906,-0.83465,0,1
95,33,0.08868,-0.05927,0.53613,1,-0.16535,0.11024,-0.97638,0,1,1,1,1,0.34375,0.9375,0.44116,0.45972,0.44116,0.45972,-0.55906,-0.83465,0,1
96,34,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.3125,1,0.50146,0.5,0.50146,0.5,-0.47244,-0.88189,0,1
97,30,0.09851,-0.0408,0.53613,1,-0.18898,0.07874,-0.97638,0,1,1,1,1,0.3125,0.9375,0.43457,0.47241,0.43457,0.47241,-0.38583,-0.92126,0,1
98,33,0.08868,-0.05927,0.53613,1,-0.16535,0.11024,-0.97638,0,1,1,1,1,0.34375,0.9375,0.44116,0.45972,0.44116,0.45972,-0.55906,-0.83465,0,1
99,33,0.08868,-0.05927,0.53613,1,-0.16535,0.11024,-0.97638,0,1,1,1,1,0.34375,0.9375,0.44116,0.45972,0.44116,0.45972,-0.55906,-0.83465,0,1
100,32,0.17395,-0.11621,0.50488,1,-0.32283,0.2126,-0.92126,0,1,1,1,1,0.34375,0.875,0.3833,0.42114,0.3833,0.42114,-0.55906,-0.83465,0,1
101,35,0.14795,-0.14795,0.50488,1,-0.27559,0.27559,-0.92126,0,1,1,1,1,0.375,0.875,0.40112,0.39966,0.40112,0.39966,-0.70866,-0.70866,0,1
102,33,0.08868,-0.05927,0.53613,1,-0.16535,0.11024,-0.97638,0,1,1,1,1,0.34375,0.9375,0.44116,0.45972,0.44116,0.45972,-0.55906,-0.83465,0,1
103,35,0.14795,-0.14795,0.50488,1,-0.27559,0.27559,-0.92126,0,1,1,1,1,0.375,0.875,0.40112,0.39966,0.40112,0.39966,-0.70866,-0.70866,0,1
104,36,0.07544,-0.07544,0.53613,1,-0.14173,0.14173,-0.97638,0,1,1,1,1,0.375,0.9375,0.4502,0.44873,0.4502,0.44873,-0.70866,-0.70866,0,1
105,37,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.34375,1,0.50146,0.5,0.50146,0.5,-0.6378,-0.77165,0,1
106,33,0.08868,-0.05927,0.53613,1,-0.16535,0.11024,-0.97638,0,1,1,1,1,0.34375,0.9375,0.44116,0.45972,0.44116,0.45972,-0.55906,-0.83465,0,1
107,36,0.07544,-0.07544,0.53613,1,-0.14173,0.14173,-0.97638,0,1,1,1,1,0.375,0.9375,0.4502,0.44873,0.4502,0.44873,-0.70866,-0.70866,0,1
108,36,0.07544,-0.07544,0.53613,1,-0.14173,0.14173,-0.97638,0,1,1,1,1,0.375,0.9375,0.4502,0.44873,0.4502,0.44873,-0.70866,-0.70866,0,1
109,35,0.14795,-0.14795,0.50488,1,-0.27559,0.27559,-0.92126,0,1,1,1,1,0.375,0.875,0.40112,0.39966,0.40112,0.39966,-0.70866,-0.70866,0,1
110,38,0.11621,-0.17395,0.50488,1,-0.2126,0.32283,-0.92126,0,1,1,1,1,0.40625,0.875,0.42261,0.38208,0.42261,0.38208,-0.83465,-0.55906,0,1
111,36,0.07544,-0.07544,0.53613,1,-0.14173,0.14173,-0.97638,0,1,1,1,1,0.375,0.9375,0.4502,0.44873,0.4502,0.44873,-0.70866,-0.70866,0,1
112,38,0.11621,-0.17395,0.50488,1,-0.2126,0.32283,-0.92126,0,1,1,1,1,0.40625,0.875,0.42261,0.38208,0.42261,0.38208,-0.83465,-0.55906,0,1
113,39,0.05927,-0.08868,0.53613,1,-0.11024,0.16535,-0.97638,0,1,1,1,1,0.40625,0.9375,0.46118,0.43994,0.46118,0.43994,-0.83465,-0.55906,0,1
114,40,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.375,1,0.50146,0.5,0.50146,0.5,-0.77165,-0.6378,0,1
115,36,0.07544,-0.07544,0.53613,1,-0.14173,0.14173,-0.97638,0,1,1,1,1,0.375,0.9375,0.4502,0.44873,0.4502,0.44873,-0.70866,-0.70866,0,1
116,39,0.05927,-0.08868,0.53613,1,-0.11024,0.16535,-0.97638,0,1,1,1,1,0.40625,0.9375,0.46118,0.43994,0.46118,0.43994,-0.83465,-0.55906,0,1
117,39,0.05927,-0.08868,0.53613,1,-0.11024,0.16535,-0.97638,0,1,1,1,1,0.40625,0.9375,0.46118,0.43994,0.46118,0.43994,-0.83465,-0.55906,0,1
118,38,0.11621,-0.17395,0.50488,1,-0.2126,0.32283,-0.92126,0,1,1,1,1,0.40625,0.875,0.42261,0.38208,0.42261,0.38208,-0.83465,-0.55906,0,1
119,41,0.08008,-0.19324,0.50488,1,-0.14961,0.3622,-0.92126,0,1,1,1,1,0.4375,0.875,0.44702,0.3689,0.44702,0.3689,-0.92126,-0.38583,0,1
120,39,0.05927,-0.08868,0.53613,1,-0.11024,0.16535,-0.97638,0,1,1,1,1,0.40625,0.9375,0.46118,0.43994,0.46118,0.43994,-0.83465,-0.55906,0,1
121,41,0.08008,-0.19324,0.50488,1,-0.14961,0.3622,-0.92126,0,1,1,1,1,0.4375,0.875,0.44702,0.3689,0.44702,0.3689,-0.92126,-0.38583,0,1
122,42,0.0408,-0.09851,0.53613,1,-0.07874,0.18898,-0.97638,0,1,1,1,1,0.4375,0.9375,0.47363,0.43311,0.47363,0.43311,-0.92126,-0.38583,0,1
123,43,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.40625,1,0.50146,0.5,0.50146,0.5,-0.88189,-0.47244,0,1
124,39,0.05927,-0.08868,0.53613,1,-0.11024,0.16535,-0.97638,0,1,1,1,1,0.40625,0.9375,0.46118,0.43994,0.46118,0.43994,-0.83465,-0.55906,0,1
125,42,0.0408,-0.09851,0.53613,1,-0.07874,0.18898,-0.97638,0,1,1,1,1,0.4375,0.9375,0.47363,0.43311,0.47363,0.43311,-0.92126,-0.38583,0,1
126,42,0.0408,-0.09851,0.53613,1,-0.07874,0.18898,-0.97638,0,1,1,1,1,0.4375,0.9375,0.47363,0.43311,0.47363,0.43311,-0.92126,-0.38583,0,1
127,41,0.08008,-0.19324,0.50488,1,-0.14961,0.3622,-0.92126,0,1,1,1,1,0.4375,0.875,0.44702,0.3689,0.44702,0.3689,-0.92126,-0.38583,0,1
128,44,0.0408,-0.2052,0.50488,1,-0.07874,0.37795,-0.92126,0,1,1,1,1,0.46875,0.875,0.47363,0.36084,0.47363,0.36084,-0.98425,-0.19685,0,1
129,42,0.0408,-0.09851,0.53613,1,-0.07874,0.18898,-0.97638,0,1,1,1,1,0.4375,0.9375,0.47363,0.43311,0.47363,0.43311,-0.92126,-0.38583,0,1
130,44,0.0408,-0.2052,0.50488,1,-0.07874,0.37795,-0.92126,0,1,1,1,1,0.46875,0.875,0.47363,0.36084,0.47363,0.36084,-0.98425,-0.19685,0,1
131,45,0.02081,-0.10461,0.53613,1,-0.03937,0.19685,-0.97638,0,1,1,1,1,0.46875,0.9375,0.4873,0.42896,0.4873,0.42896,-0.98425,-0.19685,0,1
132,46,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.4375,1,0.50146,0.5,0.50146,0.5,-0.96063,-0.29134,0,1
133,42,0.0408,-0.09851,0.53613,1,-0.07874,0.18898,-0.97638,0,1,1,1,1,0.4375,0.9375,0.47363,0.43311,0.47363,0.43311,-0.92126,-0.38583,0,1
134,45,0.02081,-0.10461,0.53613,1,-0.03937,0.19685,-0.97638,0,1,1,1,1,0.46875,0.9375,0.4873,0.42896,0.4873,0.42896,-0.98425,-0.19685,0,1
135,45,0.02081,-0.10461,0.53613,1,-0.03937,0.19685,-0.97638,0,1,1,1,1,0.46875,0.9375,0.4873,0.42896,0.4873,0.42896,-0.98425,-0.19685,0,1
136,44,0.0408,-0.2052,0.50488,1,-0.07874,0.37795,-0.92126,0,1,1,1,1,0.46875,0.875,0.47363,0.36084,0.47363,0.36084,-0.98425,-0.19685,0,1
137,47,-1.79E-07,-0.20923,0.50488,1,0,0.38583,-0.92126,0,1,1,1,1,0.5,0.875,0.50146,0.35815,0.50146,0.35815,-1,0,0,1
138,45,0.02081,-0.10461,0.53613,1,-0.03937,0.19685,-0.97638,0,1,1,1,1,0.46875,0.9375,0.4873,0.42896,0.4873,0.42896,-0.98425,-0.19685,0,1
139,47,-1.79E-07,-0.20923,0.50488,1,0,0.38583,-0.92126,0,1,1,1,1,0.5,0.875,0.50146,0.35815,0.50146,0.35815,-1,0,0,1
140,48,-1.19E-07,-0.10663,0.53613,1,0,0.20472,-0.97638,0,1,1,1,1,0.5,0.9375,0.50146,0.42773,0.50146,0.42773,-1,0,0,1
141,49,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.46875,1,0.50146,0.5,0.50146,0.5,-0.99213,-0.09449,0,1
142,45,0.02081,-0.10461,0.53613,1,-0.03937,0.19685,-0.97638,0,1,1,1,1,0.46875,0.9375,0.4873,0.42896,0.4873,0.42896,-0.98425,-0.19685,0,1
143,48,-1.19E-07,-0.10663,0.53613,1,0,0.20472,-0.97638,0,1,1,1,1,0.5,0.9375,0.50146,0.42773,0.50146,0.42773,-1,0,0,1
144,48,-1.19E-07,-0.10663,0.53613,1,0,0.20472,-0.97638,0,1,1,1,1,0.5,0.9375,0.50146,0.42773,0.50146,0.42773,-1,0,0,1
145,47,-1.79E-07,-0.20923,0.50488,1,0,0.38583,-0.92126,0,1,1,1,1,0.5,0.875,0.50146,0.35815,0.50146,0.35815,-1,0,0,1
146,50,-0.0408,-0.2052,0.50488,1,0.07874,0.37795,-0.92126,0,1,1,1,1,0.53125,0.875,0.5293,0.36084,0.5293,0.36084,-0.98425,0.19685,0,1
147,48,-1.19E-07,-0.10663,0.53613,1,0,0.20472,-0.97638,0,1,1,1,1,0.5,0.9375,0.50146,0.42773,0.50146,0.42773,-1,0,0,1
148,50,-0.0408,-0.2052,0.50488,1,0.07874,0.37795,-0.92126,0,1,1,1,1,0.53125,0.875,0.5293,0.36084,0.5293,0.36084,-0.98425,0.19685,0,1
149,51,-0.02081,-0.10461,0.53613,1,0.03937,0.19685,-0.97638,0,1,1,1,1,0.53125,0.9375,0.51563,0.42896,0.51563,0.42896,-0.98425,0.19685,0,1
